,,,,,,,,,,,,,,2017,Chevrolet Equinox,"17,208 miles",,,"$21,700"
Hatchback,4,Espresso,Avorio,16 Alloy wheels,195 45 tires,Gas,"48 mo. / 50,000 mi.; 10 mos. 32,400 mi. left","48 mo. / 50,000 mi.; 10 mos. 32,400 mi. left",1.4L I4,101 hp / 98 ft-lbs. torque,"Auto, 6-Spd AutoStick",2000194750,3C3CFFBR5FT663106,2015,FIAT 500,"17,309 miles","34
HWY","27
CITY","$12,900"
SUV,5,Brilliant Black Crystal Pearl Coat,Black,20 Alloy wheels,265 50 tires,Gas,"36 mo. / 36,000 mi.; Expired","60 mo. / 100,000 mi.; 24 mos. 80,500 mi. left",HEMI 5.7L V8,360 hp / 390 ft-lbs. torque,"Automatic, 8-Spd",2000244347,1C4RJFCTXFC211324,2015,Jeep Grand Cherokee,"19,242 miles","28
HWY","21
CITY","$32,300"
SUV,5,White Frost Tricoat,Jet Black,18 Alloy wheels,235 55 tires,Gas,"36 mo. / 36,000 mi.; 13 mos. 24,200 mi. left","60 mo. / 60,000 mi.; 37 mos. 48,200 mi. left",Ecotec 2.4L I4,182 hp / 172 ft-lbs. torque,"Automatic, 6-Spd",2000244449,2GKALMEK9H6158583,2017,GMC Terrain,"11,515 miles","32
HWY","22
CITY","$18,800"
Sedan,5,Nebula Gray Pearl,Light Gray,18 Alloy wheels,235 45 tires,Gas,"48 mo. / 50,000 mi.; 8 mos. 26,300 mi. left","72 mo. / 70,000 mi.; 32 mos. 46,300 mi. left",3.5L V6,306 hp / 277 ft-lbs. torque,"Auto, 6-Spd Seq Shft",2000245124,JTHCE1BL0FA008404,2015,Lexus GS,"23,475 miles","26
HWY","19
CITY","$27,600"
SUV,5,White Frost Tricoat,Jet Black,17 Alloy wheels,225 65 tires,Gas,"36 mo. / 36,000 mi.; 1 mo. 13,900 mi. left","60 mo. / 60,000 mi.; 25 mos. 37,900 mi. left",Ecotec 2.4L I4,182 hp / 172 ft-lbs. torque,"Automatic, 6-Spd",2000228370,2GKFLSEKXG6189642,2016,GMC Terrain,"21,844 miles","29
HWY","20
CITY","$18,600"
Coupe,5,Rallye Red,Black/Gray,16 Alloy wheels,215 55 tires,Gas,"36 mo. / 36,000 mi.; 11 mos. 22,100 mi. left","60 mo. / 60,000 mi.; 35 mos. 46,100 mi. left",2.0L I4,158 hp / 138 ft-lbs. torque,"Automatic, CVT",2000228239,2HGFC4B03GH313850,2016,Honda Civic,"13,634 miles","41
HWY","31
CITY","$18,300"
Sedan,5,Shale Gray Metallic,Gray,15 Steel with hub caps,195 65 tires,Gas,"60 mo. / 60,000 mi.; 35 mos. 17,700 mi. left","60 mo. / 60,000 mi.; 35 mos. 17,700 mi. left",2.0L I4,147 hp / 132 ft-lbs. torque,"Auto, 6-Spd Shiftronic",2000225064,5NPD74LF8HH174188,2017,Hyundai Elantra,"42,040 miles","38
HWY","29
CITY","$12,300"
Sedan,5,Moonlight White,Graphite,17 Alloy wheels,225 55 tires,Gas,"48 mo. / 60,000 mi.; 6 mos. 20,500 mi. left","72 mo. / 70,000 mi.; 30 mos. 30,500 mi. left",3.7L V6,328 hp / 269 ft-lbs. torque,"Auto, 7-Spd Rev Match",2000229188,JN1BV7AR9FM409960,2015,INFINITI Q50,"39,288 miles","27
HWY","19
CITY","$20,200"
SUV,5,Magnetic Black,Graphite,18 Alloy wheels,235 65 tires,Gas,"36 mo. / 36,000 mi.; Expired","60 mo. / 60,000 mi.; 21 mos. 36,000 mi. left",3.5L V6,260 hp / 240 ft-lbs. torque,"Automatic, Xtronic CVT",2000228250,5N1AZ2MH1FN209566,2015,Nissan Murano,"23,787 miles","28
HWY","21
CITY","$23,300"
Hatchback,5,Pure White,Titan Black with Red Piping,18 Alloy wheels,225 40 tires,Gas,"36 mo. / 36,000 mi.; 9 mos. 16,600 mi. left","60 mo. / 60,000 mi.; 33 mos. 40,600 mi. left",2.0L Turbo I4,220 hp / 258 ft-lbs. torque,"Auto, 6-Spd Tiptronic",2000228438,3VW447AU1HM021073,2017,Volkswagen Golf GTI,"19,174 miles","32
HWY","24
CITY","$25,900"
Sedan,5,Caviar,Black w/Linear Mocha Wood Trim,17 Alloy wheels,215 55 tires,Gas,"48 mo. / 50,000 mi.; 8 mos. 23,500 mi. left","72 mo. / 70,000 mi.; 32 mos. 43,500 mi. left",3.5L V6,268 hp / 248 ft-lbs. torque,"Auto, 6-Spd Seq Shft",2000231386,JTHBK1GG6G2214533,2016,Lexus ES,"26,248 miles","31
HWY","21
CITY","$26,200"
SUV,5,Pyrite Mica,Latte,18 Alloy wheels,235 55 tires,Gas,"36 mo. / 36,000 mi.; Expired","60 mo. / 60,000 mi.; Expired",2.5L I4,176 hp / 172 ft-lbs. torque,"Automatic, 6-Spd",2000229972,2T3DFREV2FW394906,2015,Toyota RAV4,"71,992 miles","29
HWY","22
CITY","$18,000"
Sedan,5,SILVER,Ebony,18 Alloy wheels,225 50 tires,Gas,"48 mo. / 50,000 mi.; 11 mos. 29,000 mi. left","72 mo. / 70,000 mi.; 35 mos. 49,000 mi. left",3.5L V6,290 hp / 267 ft-lbs. torque,"Auto, 9-Spd SportShift",2000228709,19UUB2F54FA018032,2015,Acura TLX,"20,762 miles","34
HWY","21
CITY","$21,600"
Sedan,5,Quartz White Pearl,Black,18 Alloy wheels,235 45 tires,Gas,"60 mo. / 60,000 mi.; 22 mos. 36,300 mi. left","60 mo. / 60,000 mi.; 22 mos. 36,300 mi. left",Theta II 2.0L Turbo I4,245 hp / 260 ft-lbs. torque,"Auto, 6-Spd w/Shiftronic & Drive Mode Select",2000223264,5NPE34AB3FH131312,2015,Hyundai Sonata,"23,472 miles","32
HWY","23
CITY","$19,000"
Wagon,5,Brilliant Silver,BLACK,18 Alloy wheels,225 60 tires,Gas,"36 mo. / 36,000 mi.; Expired","60 mo. / 60,000 mi.; 21 mos. 53,100 mi. left",2.5L I4,170 hp / 175 ft-lbs. torque,"Auto, CVT Xtronic",2000227994,5N1AT2MV2GC737394,2016,Nissan Rogue,"6,641 miles","32
HWY","25
CITY","$21,600"
Sedan,5,Midnight Sapphire Blue Metallic,BLACK,19 Alloy wheels,245 40 tires,Gas,"48 mo. / 50,000 mi.; 23 mos. 26,000 mi. left","72 mo. / 70,000 mi.; 47 mos. 46,000 mi. left",3.0L Twin Turbo V6,400 hp / 400 ft-lbs. torque,"Auto, 6-Spd SelectShift",2000241101,3LN6L5FC0HR619012,2017,Lincoln MKZ,"23,731 miles","31
HWY","22
CITY","$31,700"
Sedan,5,Graphite Luster Metallic,Ebony,18 Alloy wheels,225 50 tires,Gas,"48 mo. / 50,000 mi.; 2 mos. 25,400 mi. left","72 mo. / 70,000 mi.; 26 mos. 45,400 mi. left",3.5L V6,290 hp / 267 ft-lbs. torque,"Auto, 9-Spd SportShift",2000239528,19UUB2F35FA016594,2015,Acura TLX,"24,333 miles","34
HWY","21
CITY","$20,900"
Wagon,5,Gun Metallic,Charcoal,19 Alloy wheels,225 45 tires,Gas,"36 mo. / 36,000 mi.; 24 mos. 25,900 mi. left","60 mo. / 60,000 mi.; 48 mos. 49,900 mi. left",2.0L I4,141 hp / 147 ft-lbs. torque,"Auto, CVT Xtronic",2000240589,JN1BJ1CRXHW143815,2017,Nissan Rogue Sport,"9,884 miles","30
HWY","24
CITY","$23,000"
Wagon,5,WHITE,BLACK,17 Alloy wheels,225 65 tires,Gas,"36 mo. / 36,000 mi.; 22 mos. 15,000 mi. left","60 mo. / 60,000 mi.; 46 mos. 39,000 mi. left",2.5L I4,170 hp / 175 ft-lbs. torque,"Auto, CVT Xtronic",2000240552,5N1AT2MV7HC886904,2017,Nissan Rogue,"20,724 miles","32
HWY","25
CITY","$22,300"
Sedan,5,Midnight Black Metallic,BLACK,17 Alloy wheels,215 55 tires,Gas,"36 mo. / 36,000 mi.; Expired","60 mo. / 60,000 mi.; 22 mos. 41,400 mi. left",2.5L I4,178 hp / 170 ft-lbs. torque,"Auto, 6-Spd SeqShft",2000243011,4T1BF1FK8GU167565,2016,Toyota Camry,"18,305 miles","35
HWY","25
CITY","$17,200"
Sedan,5,Basque Red Pearl II,Ivory,17 Alloy wheels,215 55 tires,Gas,"36 mo. / 36,000 mi.; Expired","60 mo. / 60,000 mi.; 22 mos. 7,000 mi. left",2.4L I4,185 hp / 181 ft-lbs. torque,"Auto, 6-Spd w/Sport Mode",2000243569,1HGCR2F84GA040860,2016,Honda Accord,"52,762 miles","37
HWY","27
CITY","$18,600"
Wagon,5,SILVER,BLACK,19 Special - other,225 45 tires,Gas,"36 mo. / 36,000 mi.; 25 mos. 22,800 mi. left","60 mo. / 60,000 mi.; 49 mos. 46,800 mi. left",2.0L I4,141 hp / 147 ft-lbs. torque,"Auto, CVT Xtronic",2000240595,JN1BJ1CP1HW022105,2017,Nissan Rogue Sport,"12,904 miles","32
HWY","25
CITY","$21,600"
SUV,5,WHITE,GRAY,17 Alloy wheels,225 60 tires,Gas,"60 mo. / 60,000 mi.; 35 mos. 20,600 mi. left","60 mo. / 60,000 mi.; 35 mos. 20,600 mi. left",2.0L I4,164 hp / 151 ft-lbs. torque,"Auto, 6-Spd Shiftronic",2000227222,KM8J33A46HU280229,2017,Hyundai Tucson,"39,147 miles","30
HWY","23
CITY","$16,300"
Sedan,5,BLACK,BLACK,16 Alloy wheels,205 55 tires,Gas,"36 mo. / 36,000 mi.; 20 mos. 13,900 mi. left","60 mo. / 60,000 mi.; 44 mos. 37,900 mi. left",1.8L I4,130 hp / 128 ft-lbs. torque,"Auto, CVT w/Xtronic",2000243889,3N1AB7AP0HL711850,2017,Nissan Sentra,"21,827 miles","37
HWY","29
CITY","$14,100"
SUV,5,Granite Metallic Clear Coat,Black,17 Alloy wheels,225 60 tires,Gas,"36 mo. / 36,000 mi.; 13 mos. 22,500 mi. left","60 mo. / 60,000 mi.; 37 mos. 46,500 mi. left",2.4L I4,180 hp / 171 ft-lbs. torque,"Automatic, 9-Spd",2000229919,1C4PJLCB8HW559430,2017,Jeep Cherokee,"13,291 miles","30
HWY","21
CITY","$19,500"
Coupe,5,BLACK,BLACK,18 Alloy wheels,230 50 tires,Gas,"36 mo. / 36,000 mi.; Expired","60 mo. / 60,000 mi.; 38 mos. 23,200 mi. left",EcoBoost 2.3L Turbo I4,310 hp / 320 ft-lbs. torque,"Auto, 6-Spd SelectShift",2000231004,1FA6P8TH4H5313143,2017,Ford Mustang,"36,518 miles","30
HWY","21
CITY","$20,500"
Sedan,5,White Orchid Pearl,Ivory,16 Alloy wheels,205 65 tires,Gas,"36 mo. / 36,000 mi.; Expired","60 mo. / 60,000 mi.; 21 mos. 27,500 mi. left",2.4L I4,185 hp / 181 ft-lbs. torque,"Auto, CVT w/Sport Mode",2000230852,1HGCR2F36GA027595,2016,Honda Accord,"32,224 miles","37
HWY","27
CITY","$17,000"
