,Body,Passengers,Interior,Exterior,Wheels,Tires,Fuel,Basic,Powertrain,Engine,Horsepower,Transmission,Stock,VIN,Year,Make Model,Mileage,Highway,City,Price,Brand,Model,Liters,Cylinder,HP,TransType
"https://www.carvana.com/search/2000241154/2014-toyota-xle-minivan-4d-?sri=0eb4eacd-b0c8-42ed-b43d-51cdadeb7ce9
",Minivan,7.0,Sandy Beach Metallic,BEIGE,17 Alloy wheels,235-60,Gas,"36 mo. / 36,000 mi.; Expired","60 mo. / 60,000 mi.; Expired",3.5L V6,266 hp / 245 ft-lbs. torque,"Automatic, 6-Spd",2000241154.0,5TDYK3DCXES505633,2014,Toyota Sienna,65289,25,18,20700,Toyota,Sienna,3.5L,V6,266,auto
"https://www.carvana.com/search/2000240357/2017-chrysler-300-limited-sedan-4d-?sri=0eb4eacd-b0c8-42ed-b43d-51cdadeb7ce9
",Sedan,5.0,BLACK,BEIGE,18 Alloy wheels,225-60,Gas,"36 mo. / 36,000 mi.; 13 mos. 1,900 mi. left","60 mo. / 60,000 mi.; 37 mos. 25,900 mi. left",Pentastar 3.6L V6,292 hp / 260 ft-lbs. torque,"Automatic, 8-Spd",2000240357.0,2C3CCAAG7HH596497,2017,Chrysler 300,33806,30,19,18600,Chrysler,300,Pentastar,3.6L V6,292,auto
"https://www.carvana.com/search/2000240548/2016-nissan-s-sport-utility-4d-?sri=0eb4eacd-b0c8-42ed-b43d-51cdadeb7ce9
",Wagon,5.0,Brilliant Silver,Charcoal,17 Alloy wheels,225-65,Gas,"36 mo. / 36,000 mi.; Expired","60 mo. / 60,000 mi.; 21 mos. 20,500 mi. left",2.5L I4,170 hp / 175 ft-lbs. torque,"Auto, CVT Xtronic",2000240548.0,5N1AT2MT2GC743887,2016,Nissan Rogue,39207,33,26,15000,Nissan,Rogue,2.5L,I4,170,auto
"https://www.carvana.com/search/2000239535/2015-ford-sel-wagon-4d-?sri=0eb4eacd-b0c8-42ed-b43d-51cdadeb7ce9
",Wagon,5.0,RED,BLACK,17 Alloy wheels,225-50,Gas/Elec Hybrid,"36 mo. / 36,000 mi.; Expired","60 mo. / 60,000 mi.; Expired",2.0L Hybrid I4,188 hp,"Automatic, CVT",2000239535.0,1FADP5BU0FL108478,2015,Ford C-MAX Hybrid,73455,47,47,12600,Ford,C-MAX Hybrid,2.0L,Hybrid I4,188,auto
"https://www.carvana.com/search/2000239921/2016-hyundai-se-sport-utility-4d-?sri=0eb4eacd-b0c8-42ed-b43d-51cdadeb7ce9
",SUV,7.0,Iron Frost,Gray,18 Alloy wheels,235-60,Gas,"60 mo. / 60,000 mi.; 23 mos. 17,700 mi. left","60 mo. / 60,000 mi.; 23 mos. 17,700 mi. left",3.3L V6,290 hp / 252 ft-lbs. torque,"Auto, 6-Spd Shiftronic",2000239921.0,KM8SM4HF1GU159220,2016,Hyundai Santa Fe,42057,25,18,18500,Hyundai,Santa Fe,3.3L,V6,290,auto
"https://www.carvana.com/search/2000169690/2014-volkswagen-2.0l-tdi-sedan-4d-?sri=3980d052-b459-4f75-8f9e-a4213ee9b500
",Sedan,5.0,BLACK,BLACK,16 Alloy wheels,205-55,Diesel,"36 mo. / 36,000 mi.; Expired","60 mo. / 60,000 mi.; Expired",2.0L Diesel Turbo I4,140 hp / 236 ft-lbs. torque,Auto 6-Spd DSG Tptrnc Spt,2000169690.0,3VWLL7AJ4EM360443,2014,Volkswagen Jetta,35962,42,30,11800,Volkswagen,Jetta,2.0L,Diesel Turbo I4,140,auto
"https://www.carvana.com/search/2000235984/2016-mercedes-benz-glc-300-sport-utility-4d-?sri=0eb4eacd-b0c8-42ed-b43d-51cdadeb7ce9
",SUV,5.0,WHITE,BLACK,19 Alloy wheels,235-55,Gas,"48 mo. / 50,000 mi.; 12 mos. 26,600 mi. left","48 mo. / 50,000 mi.; 12 mos. 26,600 mi. left",2.0L Turbo I4,241 hp / 273 ft-lbs. torque,"Auto, 9-Spd Touch Shift",2000235984.0,WDC0G4JB9GF034278,2016,Mercedes-Benz GLC,23105,28,22,30500,Mercedes-Benz,GLC,2.0L,Turbo I4,241,auto
"https://www.carvana.com/search/2000233642/2015-nissan-sv-sedan-4d-?sri=0eb4eacd-b0c8-42ed-b43d-51cdadeb7ce9
",Sedan,5.0,Fresh Powder,BLACK,16 Steel with hub caps,205-55,Gas,"36 mo. / 36,000 mi.; Expired","60 mo. / 60,000 mi.; 24 mos. 14,000 mi. left",1.8L I4,130 hp / 128 ft-lbs. torque,"Automatic, CVT w/Xtronic",2000233642.0,3N1AB7AP1FL691928,2015,Nissan Sentra,45767,39,29,11400,Nissan,Sentra,1.8L,I4,130,auto
"https://www.carvana.com/search/2000232404/2017-ram-slt-pickup-4d-6-13-ft-?sri=0eb4eacd-b0c8-42ed-b43d-51cdadeb7ce9
",Pickup,6.0,RED,BLACK,17 Alloy wheels,265-70,Flex Fuel,"36 mo. / 36,000 mi.; 14 mos. 1,200 mi. left","60 mo. / 100,000 mi.; 38 mos. 65,200 mi. left",3.6L Flex Fuel V6,305 hp / 269 ft-lbs. torque,"Automatic, 8-Spd",2000232404.0,1C6RR7GG8HS748656,2017,Ram 1500 Quad Cab,34559,27,19,25000,Ram,1500 Quad Cab,3.6L,Flex Fuel V6,305,auto
"https://www.carvana.com/search/2000236290/2015-hyundai-sport-utility-4d-?sri=0eb4eacd-b0c8-42ed-b43d-51cdadeb7ce9
",SUV,5.0,SILVER,GRAY,17 Alloy wheels,235-65,Gas,"60 mo. / 60,000 mi.; 14 mos. 3,400 mi. left","60 mo. / 60,000 mi.; 14 mos. 3,400 mi. left",2.4L I4,190 hp / 181 ft-lbs. torque,"Auto, 6-Spd Shiftronic",2000236290.0,5XYZT3LB5FG285245,2015,Hyundai Santa Fe Sport,56337,27,20,14200,Hyundai,Santa Fe Sport,2.4L,I4,190,auto
"https://www.carvana.com/search/2000172155/2014-volkswagen-2.0l-tdi-sedan-4d-?sri=3980d052-b459-4f75-8f9e-a4213ee9b500
",Sedan,5.0,WHITE,BLACK,16 Alloy wheels,205-55,Diesel,"36 mo. / 36,000 mi.; Expired","60 mo. / 60,000 mi.; Expired",2.0L Diesel Turbo I4,140 hp / 236 ft-lbs. torque,Auto 6-Spd DSG Tptrnc Spt,2000172155.0,3VWLL7AJ0EM363887,2014,Volkswagen Jetta,28069,42,30,12100,Volkswagen,Jetta,2.0L,Diesel Turbo I4,140,auto
"https://www.carvana.com/search/2000171438/2018-chevrolet-lt-sedan-4d-?sri=3980d052-b459-4f75-8f9e-a4213ee9b500
",Sedan,5.0,Mosaic Black Metallic,Jet Black,16 Alloy wheels,205-55,Gas,"36 mo. / 36,000 mi.; 19 mos. 13,300 mi. left","60 mo. / 60,000 mi.; 43 mos. 37,300 mi. left",1.4L Turbo I4,153 hp / 177 ft-lbs. torque,"Automatic, 6-Spd",2000171438.0,1G1BE5SMXJ7115522,2018,Chevrolet Cruze,22446,30,40,14100,Chevrolet,Cruze,1.4L,Turbo I4,153,auto
"https://www.carvana.com/search/2000169287/2013-volkswagen-2.0l-tdi-sport-wagon-4d-?sri=3980d052-b459-4f75-8f9e-a4213ee9b500
",Wagon,5.0,WHITE,BLACK,16 Alloy wheels,205-55,Diesel,"36 mo. / 36,000 mi.; Expired","60 mo. / 60,000 mi.; Expired",2.0L Diesel Turbo I4,140 hp / 236 ft-lbs. torque,Auto 6-Spd DSG Tptrnc Spt,2000169287.0,3VWPL7AJXDM604855,2013,Volkswagen Jetta SportWagen,74756,39,29,11300,Volkswagen,Jetta SportWagen,2.0L,Diesel Turbo I4,140,auto
"https://www.carvana.com/search/2000167564/2015-kia-ex-sedan-4d-?sri=3980d052-b459-4f75-8f9e-a4213ee9b500
",Sedan,5.0,Bright Silver,Beige,17 Alloy wheels,215-55,Gas,"60 mo. / 60,000 mi.; 18 mos. 35,200 mi. left","60 mo. / 60,000 mi.; 18 mos. 35,200 mi. left",2.4L I4,192 hp / 181 ft-lbs. torque,"Auto, 6-Spd Sportmatic",2000167564.0,5XXGN4A7XFG482924,2015,Kia Optima,24561,24,23,15400,Kia,Optima,2.4L,I4,192,auto
"https://www.carvana.com/search/2000168575/2015-bmw-range-extender-hatchback-4d-?sri=3980d052-b459-4f75-8f9e-a4213ee9b500
",Hatchback,4.0,Arravani Grey w/ BMW i Frozen Blue Accent,Mega Carum Spice Grey/Carum Spice Grey,19 Alloy wheels,155-70,Lith Electric,"48 mo. / 50,000 mi.; 11 mos. 39,900 mi. left","48 mo. / 50,000 mi.; 11 mos. 39,900 mi. left",Range-Extended Electric,170 hp / 184 ft-lbs. torque,"Automatic, 1-Spd",2000168575.0,WBY1Z4C51FV503362,2015,BMW i3,9819,107,127,20800,BMW,i3,Range-Extended,Electric,170,auto
"https://www.carvana.com/search/2000168296/2015-hyundai-limited-sedan-4d-?sri=3980d052-b459-4f75-8f9e-a4213ee9b500
",Sedan,5.0,SILVER,BEIGE,17 Alloy wheels,215-55,Gas,"60 mo. / 60,000 mi.; 17 mos. 34,900 mi. left","60 mo. / 60,000 mi.; 17 mos. 34,900 mi. left",2.4L I4,185 hp / 178 ft-lbs. torque,"Auto, 6-Spd w/Shiftronic & Drive Mode Select",2000168296.0,5NPE34AFXFH171146,2015,Hyundai Sonata,24833,35,24,16400,Hyundai,Sonata,2.4L,I4,185,auto
"https://www.carvana.com/search/2000167245/2017-nissan-s-sedan-4d-?sri=3980d052-b459-4f75-8f9e-a4213ee9b500
",Sedan,5.0,BLACK,BLACK,18 Alloy wheels,245-45,Gas,"36 mo. / 36,000 mi.; 13 mos. 18,700 mi. left","60 mo. / 60,000 mi.; 37 mos. 42,700 mi. left",3.5L V6,300 hp / 261 ft-lbs. torque,"Auto, Xtronic CVT",2000167245.0,1N4AA6AP7HC400394,2017,Nissan Maxima,17043,30,21,22600,Nissan,Maxima,3.5L,V6,300,auto
"https://www.carvana.com/search/2000167143/2015-jeep-sport-suv-4d-?sri=3980d052-b459-4f75-8f9e-a4213ee9b500
",SUV,5.0,BLACK,BLACK,16 Alloy wheels,205-70,Gas,"36 mo. / 36,000 mi.; Expired","60 mo. / 100,000 mi.; 15 mos. 70,700 mi. left",2.4L I4,172 hp / 165 ft-lbs. torque,"Manual, 5-Spd",2000167143.0,1C4NJRBB9FD396548,2015,Jeep Patriot,29068,27,22,14500,Jeep,Patriot,2.4L,I4,172,manual
"https://www.carvana.com/search/2000164136/2016-toyota-se-sedan-4d-?sri=3980d052-b459-4f75-8f9e-a4213ee9b500
",Sedan,5.0,BLUE,Black,17 Alloy wheels,215-55,Gas,"36 mo. / 36,000 mi.; 4 mos. 8,800 mi. left","60 mo. / 60,000 mi.; 28 mos. 32,800 mi. left",2.5L I4,178 hp / 170 ft-lbs. torque,"Auto, 6-Spd SeqShft",2000164136.0,4T1BF1FK0GU572416,2016,Toyota Camry,26967,35,25,15900,Toyota,Camry,2.5L,I4,178,auto
"https://www.carvana.com/search/2000165865/2013-volkswagen-2.0l-tdi-sport-wagon-4d-?sri=3980d052-b459-4f75-8f9e-a4213ee9b500
",Wagon,5.0,Moonrock Silver Metallic,Cornsilk Beige,17 Alloy wheels,225-45,Diesel,"36 mo. / 36,000 mi.; Expired","60 mo. / 60,000 mi.; Expired",2.0L Diesel Turbo I4,140 hp / 236 ft-lbs. torque,Auto 6-Spd DSG Tptrnc Spt,2000165865.0,3VWPL7AJ0DM685347,2013,Volkswagen Jetta SportWagen,53561,39,29,11900,Volkswagen,Jetta SportWagen,2.0L,Diesel Turbo I4,140,auto
"https://www.carvana.com/search/2000168359/2017-infiniti-sport-utility-4d-?sri=3980d052-b459-4f75-8f9e-a4213ee9b500
",Wagon,5.0,BLACK,BLACK,18 Alloy wheels,225-55,Gas,"48 mo. / 60,000 mi.; 21 mos. 17,500 mi. left","72 mo. / 70,000 mi.; 45 mos. 27,500 mi. left",3.7L V6,325 hp / 267 ft-lbs. torque,"Auto, 7-Spd Rev Matching",2000168359.0,JN1BJ0RPXHM382647,2017,INFINITI QX50,42219,24,17,21900,INFINITI,QX50,3.7L,V6,325,auto
"https://www.carvana.com/search/2000165796/2015-hyundai-limited-sedan-4d-?sri=3980d052-b459-4f75-8f9e-a4213ee9b500
",Sedan,5.0,Quartz White Pearl,Beige,17 Alloy wheels,215-55,Gas,"60 mo. / 60,000 mi.; 10 mos. 18,900 mi. left","60 mo. / 60,000 mi.; 10 mos. 18,900 mi. left",2.4L I4,185 hp / 178 ft-lbs. torque,"Auto, 6-Spd w/Shiftronic & Drive Mode Select",2000165796.0,5NPE34AFXFH012756,2015,Hyundai Sonata,40882,35,24,15700,Hyundai,Sonata,2.4L,I4,185,auto
"https://www.carvana.com/search/2000165155/2017-nissan-s-pickup-2d-6-ft-?sri=3980d052-b459-4f75-8f9e-a4213ee9b500
",Pickup,4.0,Glacier White,Steel,15 Alloy wheels,235-75,Gas,"36 mo. / 36,000 mi.; 18 mos. 27,400 mi. left","60 mo. / 60,000 mi.; 42 mos. 51,400 mi. left",2.5L I4,152 hp / 171 ft-lbs. torque,"Automatic, 5-Spd",2000165155.0,1N6BD0CT1HN720440,2017,Nissan Frontier King Cab,8400,22,17,18300,Nissan,Frontier King Cab,2.5L,I4,152,auto
"https://www.carvana.com/search/2000164126/2017-chevrolet-lt-hatchback-4d-?sri=3980d052-b459-4f75-8f9e-a4213ee9b500
",Hatchback,5.0,Cajun Red Tintcoat,BLACK,16 Alloy wheels,205-55,Gas,"36 mo. / 36,000 mi.; 15 mos. 21,800 mi. left","60 mo. / 60,000 mi.; 39 mos. 45,800 mi. left",1.4L Turbo I4,153 hp / 177 ft-lbs. torque,"Automatic, 6-Spd",2000164126.0,3G1BE6SM7HS608883,2017,Chevrolet Cruze,13963,38,29,15100,Chevrolet,Cruze,1.4L,Turbo I4,153,auto
